user_id,skill_name,correct
Ryan,Q1,0
David,Q1,1
Kevin,Q1,1
Brenton,Q1,1
Bobby,Q1,1
Mohammad,Q1,0
Forrest,Q1,1
Peter,Q1,0
Kareem,Q1,1
Joe,Q1,0
Gary,Q1,1
Larry Bird,Q1,0
MJ,Q1,1
Lebron,Q1,0
Amanda,Q1,1
Jenny,Q1,0
Ryan,Q2,0
David,Q2,1
Kevin,Q2,1
Brenton,Q2,1
Bobby,Q2,1
Mohammad,Q2,0
Forrest,Q2,1
Peter,Q2,0
Kareem,Q2,1
Joe,Q2,0
Gary,Q2,1
Larry Bird,Q2,0
MJ,Q2,1
Lebron,Q2,0
Amanda,Q2,1
Jenny,Q2,0
Ryan,Q3,0
David,Q3,1
Kevin,Q3,1
Brenton,Q3,1
Bobby,Q3,1
Mohammad,Q3,0
Forrest,Q3,1
Peter,Q3,0
Kareem,Q3,1
Joe,Q3,0
Gary,Q3,1
Larry Bird,Q3,0
MJ,Q3,1
Lebron,Q3,0
Amanda,Q3,1
Jenny,Q3,0
Ryan,Q4,0
David,Q4,1
Kevin,Q4,1
Brenton,Q4,1
Bobby,Q4,1
Mohammad,Q4,0
Forrest,Q4,1
Peter,Q4,0
Kareem,Q4,1
Joe,Q4,0
Gary,Q4,1
Larry Bird,Q4,0
MJ,Q4,1
Lebron,Q4,0
Amanda,Q4,1
Jenny,Q4,0
Ryan,Q5,0
David,Q5,1
Kevin,Q5,1
Brenton,Q5,1
Bobby,Q5,1
Mohammad,Q5,0
Forrest,Q5,1
Peter,Q5,0
Kareem,Q5,1
Joe,Q5,0
Gary,Q5,1
Larry Bird,Q5,0
MJ,Q5,1
Lebron,Q5,0
Amanda,Q5,1
Jenny,Q5,0
Ryan,Q6,0
David,Q6,1
Kevin,Q6,1
Brenton,Q6,1
Bobby,Q6,1
Mohammad,Q6,0
Forrest,Q6,1
Peter,Q6,0
Kareem,Q6,1
Joe,Q6,0
Gary,Q6,1
Larry Bird,Q6,0
MJ,Q6,1
Lebron,Q6,0
Amanda,Q6,1
Jenny,Q6,0
Ryan,Q7,0
David,Q7,1
Kevin,Q7,1
Brenton,Q7,1
Bobby,Q7,1
Mohammad,Q7,0
Forrest,Q7,1
Peter,Q7,0
Kareem,Q7,1
Joe,Q7,0
Gary,Q7,1
Larry Bird,Q7,0
MJ,Q7,1
Lebron,Q7,0
Amanda,Q7,1
Jenny,Q7,0
Ryan,Q8,0
David,Q8,1
Kevin,Q8,1
Brenton,Q8,1
Bobby,Q8,1
Mohammad,Q8,0
Forrest,Q8,1
Peter,Q8,0
Kareem,Q8,1
Joe,Q8,0
Gary,Q8,1
Larry Bird,Q8,0
MJ,Q8,1
Lebron,Q8,0
Amanda,Q8,1
Jenny,Q8,0
Ryan,Q9,0
David,Q9,1
Kevin,Q9,1
Brenton,Q9,1
Bobby,Q9,1
Mohammad,Q9,0
Forrest,Q9,1
Peter,Q9,0
Kareem,Q9,1
Joe,Q9,0
Gary,Q9,1
Larry Bird,Q9,0
MJ,Q9,1
Lebron,Q9,0
Amanda,Q9,1
Jenny,Q9,0
